Columna1	Columna2	Columna3	Columna4	Columna5	Columna6
id_editorial	nom_editorial	dir_editorial	tel_editorial	ema_editorial	web_editorial
E001	Literatura Random House	40451 Brendan Light Apt. 269, North Marytown, NC 27873	324-834-7891	jonathan49@holt-jacobs.info	https://www.garcia-reyes.org/
E002	Europa Editions	USNV Lee, FPO AE 86996	001-987-412-2475x226	drobinson@rodriguez-davis.net	http://lewis.info/
E003	World Editions	700 Nichole Harbor Suite 110, Calebburgh, HI 95164	001-697-746-4719x27443	williamwalker@white.com	https://www.young.com/
E004	MacLehose Press	83640 Michelle Branch Suite 158, Wintersview, AZ 70182	-4756	ghouston@lambert.com	http://wilson-west.com/
E005	W&N	681 Brooks Fields, East Jamesmouth, ND 91463	7.958.474.675	rodriguezrickey@lee-green.info	http://www.bray-taylor.info/
E006	Verso Fiction	92909 Davis Roads, Lake Daleview, OR 12890	(517)359-2047x8278	guzmanchristopher@jensen.com	https://www.hubbard.com/
E007	Transit Books	Unit 4960 Box 6831, DPO AP 08313	9160154756	nicholas88@taylor-hernandez.com	https://www.hernandez.com/
E008	Fitzcarraldo Editions	1437 Nicole Estate Suite 792, Reidmouth, OK 22445	683-577-1854x60026	lgray@lyons-mayo.biz	https://estrada-howard.com/
E009	Pushkin Press	9012 Harris Field Apt. 813, Garrettfurt, TN 45832	533.202.8964x4262	mnguyen@smith-jones.net	http://www.bryant-lyons.com/
E010	Scribe UK	441 Lauren Turnpike, Emilyberg, OK 31818	(551)492-7858x3238	bobbywells@williams.org	https://simmons-curtis.info/
E011	Honford Star	7603 Smith Drive Apt. 952, West Laurie, NE 88611	+1-153-571-5462x7395	halljoshua@estrada-clark.net	https://www.martin.com/
E012	Picador	6000 Frederick Bridge Suite 380, Nunezberg, WI 15200	055-795-3676x788	jason74@meyer.net	https://www.hopkins.com/
E013	Tilted Axis Press	USNV Richmond, FPO AE 93198	479.678.9933x002	pamelasimmons@olson.net	http://livingston-clark.com/
E014	Charco Press	022 Ariel River Apt. 484, Jayfurt, OK 90916	-3615	jcummings@dennis.com	https://www.glover-reyes.com/
E015	Scribner	863 Brian Mews Apt. 465, New Kevinside, CT 91846	033-604-6144x906	megan42@smith.info	http://wheeler.com/
E016	Jonathan Cape	61003 Huff Dale Apt. 631, West Jacquelineberg, NH 20884	(213)426-8278x082	daniel18@flores.org	https://grant.net/
E017	And Other Stories	0333 Gonzales Shore Apt. 994, Colemanmouth, WY 57998	6080146176	ewilliams@franklin-price.info	https://benjamin.com/
E018	Lolli Editions	73722 Julia Lakes, New Ryanchester, SD 35539	386-744-5551x187	jessica82@vincent.com	https://webb-blankenship.com/
E019	Yale University Press	3412 Shaw Fields, New Matthew, CA 92554	+1-736-258-4446x97870	zachary18@reilly-thompson.biz	https://www.lopez-thompson.net/
E020	Granta Books	7096 Thomas Locks Apt. 136, Vegashire, SD 31564	001-690-146-6720x128	brandon56@williams.info	https://atkinson.info/
E021	Peirene Press	13018 Charles Club Apt. 185, Port Steventon, WA 14740	456-051-5936	hudsontammy@oneal-butler.com	https://www.lewis.com/
E022	The New Press	1338 Edward Orchard Apt. 023, Jessicatown, ME 62104	(935)422-4116	sharris@beasley-long.org	http://www.garcia-brown.org/
E023	Faber & Faber	80463 Ethan Estates, Port Chloehaven, OK 95392	(048)149-3525x43215	phillipsjoseph@hawkins.com	http://snyder.com/
E024	Harvill Secker	094 Vanessa Roads, Jeffreyborough, DE 36585	452-568-4710	martinezzachary@hill-smith.com	https://ramirez.org/
E025	Riverrun	0289 Smith Estate, Lake Douglas, DC 16382	508-328-0704x943	andreasellers@wells.com	http://www.horton-coleman.org/
E026	Oneworld	621 Browning Roads, Lake Peter, WA 77753	001-381-684-2602	james71@evans.org	https://cooper-mcpherson.com/
E027	William Heinemann	4329 Miller Cliffs, West Maryville, UT 70794	001-564-680-7638	jessica95@williams-rodriguez.com	http://french.com/
E028	Sandstone Press	77486 Matthew Crossroad, Beardmouth, KS 52645	+1-751-994-5259x1459	leblancteresa@vaughn-barker.info	http://logan-allen.com/
E029	Portobello Books	2691 Lara Shoal Suite 495, East Paul, ND 48359	(390)120-9092	bakerlindsay@pennington-castillo.com	https://www.monroe.biz/
E030	Serpent's Tail	4800 Williams Spring, Port Rosefurt, CT 17852	001-116-126-1708x65084	rachelnelson@rodriguez.info	https://www.galvan-mccullough.com/
E031	Tuskar Rock	8250 Barbara Corner, South Kristina, GA 36483	135-905-0680x9163	sduran@smith.org	http://barton.info/
E032	Seagull Books	5126 Robert Pike, Edwardton, NY 60348	001-820-793-4831x90053	brandon26@duke-weaver.com	https://king.com/
E033	Text Publishing	126 Angela Trace, North Kevin, SC 81864	908-376-1324	ycline@mason.org	https://www.francis-hansen.net/
